Episode,Reward,Length
1,6.5000001192092896,10
2,7.0000001192092896,9
3,6.333333373069763,11
4,3.833333373069763,6
5,3.5000000596046448,6
6,3.833333432674408,6
7,5.666666746139526,7
8,2.1666666865348816,3
9,9.333333492279053,15
10,3.833333373069763,6
11,2.1666666865348816,3
12,7.666666865348816,12
13,3.6666667461395264,6
14,5.500000059604645,9
15,5.333333432674408,8
16,23.833333790302277,36
17,8.833333432674408,12
18,7.166666805744171,11
19,25.500000298023224,24
20,4.500000059604645,7
21,2.1666666865348816,3
22,2.333333373069763,4
23,2.333333373069763,3
24,2.833333373069763,4
25,3.6666666865348816,6
26,6.333333432674408,10
27,6.333333432674408,10
28,3.6666666865348816,6
29,7.000000059604645,12
30,4.666666746139526,7
31,7.833333432674408,13
32,4.666666746139526,7
33,17.00000023841858,22
34,2.333333373069763,3
35,10.333333551883698,16
36,13.00000011920929,22
37,9.333333492279053,15
38,4.333333373069763,7
39,5.333333373069763,9
40,8.833333432674408,14
41,4.166666746139526,7
42,1.6666666865348816,2
43,10.50000011920929,18
44,8.666666805744171,14
45,4.000000059604645,6
46,4.000000059604645,7
47,20.000000298023224,29
48,2.833333373069763,4
49,5.166666746139526,7
50,3.833333373069763,6
51,2.333333373069763,3
52,3.6666666865348816,6
53,10.000000238418579,15
54,1.6666666865348816,2
55,8.000000059604645,14
56,1.6666666865348816,2
57,5.166666746139526,8
58,6.666666805744171,9
59,11.166666805744171,19
60,2.833333373069763,4
61,2.833333373069763,4
62,4.166666746139526,7
63,1.6666666865348816,2
64,9.833333492279053,15
65,7.833333492279053,12
66,8.00000011920929,13
67,6.166666746139526,10
68,5.500000059604645,10
69,6.0000001192092896,9
70,1.6666666865348816,2
71,7.0000001192092896,11
72,5.500000059604645,9
73,13.666666746139526,6
74,7.5000001192092896,11
75,7.666666746139526,13
76,2.333333373069763,3
77,3.0000000596046448,5
78,1.6666666865348816,2
79,6.0000001192092896,9
80,9.50000011920929,15
81,3.5000000596046448,5
82,4.000000059604645,6
83,7.0000001192092896,11
84,3.833333373069763,5
85,7.333333432674408,11
86,1.6666666865348816,2
87,2.333333373069763,3
88,5.333333432674408,7
89,9.166666805744171,15
90,6.833333492279053,10
91,3.5000000596046448,5
92,7.666666805744171,11
93,2.1666666865348816,3
94,7.0000001192092896,9
95,7.333333492279053,11
96,8.500000178813934,13
97,5.166666686534882,9
98,2.333333373069763,3
99,9.50000011920929,13
100,1.6666666865348816,2
101,11.333333551883698,19
102,2.6666666865348816,4
103,7.333333432674408,12
104,4.000000059604645,5
105,10.833333432674408,16
106,11.833333611488342,18
107,7.666666805744171,11
108,2.833333373069763,4
109,3.333333373069763,4
110,2.1666666865348816,3
111,8.833333492279053,13
112,6.000000059604645,7
113,5.333333373069763,6
114,1.6666666865348816,2
115,1.6666666865348816,2
116,5.000000059604645,8
117,4.166666746139526,6
118,4.500000059604645,7
119,4.500000059604645,6
120,2.6666666865348816,4
121,8.00000011920929,13
